"iata","name","latitude","longitude","totalflights","numberofdelays","delaypercentage","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"TLH","Tallahassee Regional","30.39652778","-84.35033333","5912","1072","18","20501","6479","19657","8","17730"
"TOL","Toledo Express","41.58680556","-83.80783333","1478","280","18","2825","461","6955","0","7017"
"TPA","Tampa International ","27.97547222","-82.53325","78179","14317","18","169733","47812","250906","165","370048"
"TRI","Tri-Cities Regional","36.47521417","-82.40742056","2117","360","17","11165","1732","7023","8","3495"
"TUL","Tulsa International","36.19837222","-95.88824167","23459","4031","17","57650","13894","65849","707","99285"
"TUP","Tupelo Municipal ","34.26810833","-88.769895","10","1","10","0","0","26","0","0"
"TUS","Tucson International","32.11608333","-110.9410278","26661","3829","14","64554","6254","46066","163","86099"
"TVC","Cherry Capital","44.74144472","-85.582235","4262","877","20","14711","2937","31957","0","16756"
"TWF","Joslin Field - Magic Valley","42.48180389","-114.4877356","1813","185","10","1953","4111","726","5","5155"
"TXK","Texarkana Regional-Webb ","33.45370806","-93.99102","1250","173","13","2303","2326","1626","0","5254"
"TYR","Tyler Pounds ","32.35413889","-95.40238611","1585","191","12","3287","1549","2506","0","5456"
"TYS","McGhee-Tyson","35.81248722","-83.99285583","14004","2782","19","48960","14992","70954","190","50099"
"VLD","Valdosta Regional","30.7825","-83.27672222","938","188","20","5128","1752","3512","0","1797"
"VPS","Eglin Air Force Base","30.48325","-86.5254","6820","1393","20","35067","7458","27607","34","28203"
"WRG","Wrangell","56.48432583","-132.3698242","727","139","19","1244","536","610","103","6086"
"WYS","Yellowstone","44.68839917","-111.1176375","264","3","1","0","0","3","0","155"
"XNA","Northwest Arkansas Regional","36.28186944","-94.30681111","14112","3075","21","54723","11515","81755","219","67817"
"YAK","Yakutat","59.50336056","-139.6602261","725","153","21","913","48","566","50","9001"
"YKM","Yakima Air Terminal","46.56816972","-120.5440594","340","67","19","699","182","325","0","885"
"YUM","Yuma MCAS-Yuma International","32.65658333","-114.6059722","3871","437","11","14833","701","3927","708","3320"
"CZN","Chisana","62.07118972","-142.0483742","","","","","","","",""
"SBU","Blue Earth Municipal","43.59534389","-94.09284833","","","","","","","",""
"BID","Block Island State","41.16811889","-71.57784167","","","","","","","",""
"S27","Kalispell City","48.17856944","-114.3037408","","","","","","","",""
"SD28","McLaughlin Municipal","45.79680833","-100.7842503","","","","","","","",""
"KVC","King Cove","55.1163475","-162.2662272","","","","","","","",""
"SYV","Sylvester","31.55851111","-83.89573389","","","","","","","",""
"K82","Smith Center Municipal","39.76112278","-98.79343639","","","","","","","",""
"OIN","Oberlin Municipal","39.83378278","-100.5394236","","","","","","","",""
"FRR","Front Royal-Warren County","38.9175325","-78.25351472","","","","","","","",""
"ESN","Easton /Newnam ","38.80416667","-76.069","","","","","","","",""
"1I9","Delphi Municipal","40.54281417","-86.68167194","","","","","","","",""
"B08","Silver Springs","39.40324917","-119.2518292","","","","","","","",""
"LND","Hunt ","42.81523611","-108.7298392","","","","","","","",""
"GEY","South Big Horn County","44.51644444","-108.0831944","","","","","","","",""
"GMJ","Grove Municipal","36.60527056","-94.73856667","","","","","","","",""
"AIY","Atlantic City Municipal","39.36002778","-74.45608333","","","","","","","",""
"42A","Melbourne Municipal","36.07079222","-91.82914667","","","","","","","",""
"TTF","Monroe Custer","41.93990639","-83.43468306","","","","","","","",""
"OSX","Kosciusko-Attala County","33.09025889","-89.54201722","","","","","","","",""
"5R8","De Quincy Industrial Airpark","30.44117222","-93.47349722","","","","","","","",""
"2F6","Skiatook Municipal","36.357035","-96.01138556","","","","","","","",""
"SHR","Sheridan County","44.76919556","-106.9802794","","","","","","","",""
"BMQ","Burnet Muni-Kate Craddock ","30.73894444","-98.23858333","","","","","","","",""
"AQH","Kwinhagak","59.75700722","-161.8794789","","","","","","","",""
"OFP","Hanover County Municipal","37.7080325","-77.43601028","","","","","","","",""
"BLH","Blythe","33.61916278","-114.7168764","","","","","","","",""
"JCT","Kimble County","30.51126","-99.76345528","","","","","","","",""
"CEW","Bob Sikes","30.77883333","-86.52211111","","","","","","","",""
"CWF","Chennault International ","30.21059167","-93.14318944","","","","","","","",""
"6N5","E 34th St Heliport","40.74260167","-73.97208306","","","","","","","",""
"GLE","Gainesville Municipal","33.65136111","-97.19702778","","","","","","","",""
"CEV","Mettel ","39.69803139","-85.13124528","","","","","","","",""
"HRU","Herington Municipal","38.68322389","-96.80800639","","","","","","","",""
"HNB","Huntingburg","38.24902583","-86.95371833","","","","","","","",""
"LQR","Larned-Pawnee County","38.20809667","-99.08607306","","","","","","","",""
"03D","Memphis Memorial","40.44725889","-92.22696056","","","","","","","",""
"O52","Sutter County","39.12655889","-121.6091328","","","","","","","",""
"HYI","San Marcos Municipal","29.89361111","-97.86469444","","","","","","","",""
"O65","Okeene Municipal","36.11253667","-98.3086825","","","","","","","",""
"RBG","Roseburg Regional","43.23878306","-123.3558617","","","","","","","",""
"I12","Sidney Municipal","40.24127944","-84.15101167","","","","","","","",""
"TBN","Forney AAF","37.74163111","-92.14073611","","","","","","","",""
"LWM","Lawrence Municipal","42.71720944","-71.12343","","","","","","","",""
"INT","Smith Reynolds","36.13372222","-80.222","","","","","","","",""
"96D","Walhalla Municipal","48.94057222","-97.902775","","","","","","","",""
"EHR","Henderson City-County","37.8078425","-87.68569","","","","","","","",""
"STF","George M Bryan ","33.43381667","-88.84863806","","","","","","","",""
"OWX","Putnam County","41.0355825","-83.98202444","","","","","","","",""
"37W","Harnett County","35.37880028","-78.73362917","","","","","","","",""
"PNP","Pilot Point","57.58038056","-157.5674444","","","","","","","",""
"9S4","Mineral County","47.16825944","-114.8537411","","","","","","","",""
"RZL","Jasper County","40.94789861","-87.18257944","","","","","","","",""
"IDL","Indianola Municipal","33.48574611","-90.67887611","","","","","","","",""
"FCM","Flying Cloud","44.82724111","-93.45714639","","","","","","","",""
"OMK","Omak","48.46440222","-119.5180503","","","","","","","",""
"MEY","Mapleton Municipal","42.178295","-95.79364528","","","","","","","",""
"ALI","Alice International","27.74088889","-98.02694444","","","","","","","",""
"I66","Clinton ","39.50286111","-83.86305556","","","","","","","",""
"AFE","Kake","56.96048139","-133.9082694","","","","","","","",""
"07G","Fitch H Beach","42.57450861","-84.81143139","","","","","","","",""
"GQQ","Galion Municipal","40.75338889","-82.72380556","","","","","","","",""
"2V1","Stevens ","37.277505","-107.0558742","","","","","","","",""
"48S","Harlem","48.56666472","-108.7729339","","","","","","","",""
"OGD","Ogden-Hinckley","41.19594417","-112.012175","","","","","","","",""
"I78","Union County","40.22469444","-83.35161111","","","","","","","",""
"3CK","Lake In The Hills","42.20680306","-88.32304028","","","","","","","",""
"IPJ","Lincoln County","35.48332889","-81.16125833","","","","","","","",""
"S59","Libby","48.28384528","-115.4902453","","","","","","","",""
"3SQ","St Charles","38.84866139","-90.50011833","","","","","","","",""
"PVW","Hale County","34.16814722","-101.7173361","","","","","","","",""
"40U","Manila","40.98607","-109.6784811","","","","","","","",""
"HDI","Hardwick ","35.22007306","-84.83244333","","","","","","","",""
"TPH","Tonopah","38.06020222","-117.0871536","","","","","","","",""
"CXO","Montgomery County","30.35183333","-95.4144675","","","","","","","",""
"OBE","Okeechobee County","27.26282306","-80.84978306","","","","","","","",""
"AHN","Athens Municipal","33.94859528","-83.32634694","","","","","","","",""
"PEZ","Pleasanton Municipal","28.95419444","-98.51998917","","","","","","","",""
"APN","Alpena County Regional ","45.0780675","-83.56028583","","","","","","","",""
"MWH","Grant County","47.20770806","-119.3201897","","","","","","","",""
"9C8","Evart Municipal","43.8958525","-85.27920861","","","","","","","",""
"2I5","Chanute","40.29355556","-88.14236111","","","","","","","",""
"HEF","Manassas Reg./Harry P Davis ","38.72141667","-77.51544444","","","","","","","",""
"MHV","Mojave","35.05936472","-118.1518561","","","","","","","",""
"LNS","Lancaster","40.12171528","-76.29609778","","","","","","","",""
"S80","Idaho County","45.94255806","-116.1234158","","","","","","","",""
"EAT","Pangborn Memorial","47.39886111","-120.2068333","","","","","","","",""
"E25","Wickenburg Municipal","33.96891833","-112.7985128","","","","","","","",""
"CZG","Tri-Cities ","42.07853583","-76.09633306","","","","","","","",""
"Y74","Hankins ","47.93640083","-102.1421142","","","","","","","",""
"0F2","Bowie Municipal","33.60166667","-97.77556","","","","","","","",""
"MJQ","Jackson Municipal","43.65004111","-94.98654611","","","","","","","",""
"AHH","Amery Municipal","45.28114833","-92.37539222","","","","","","","",""
"5NI","Nikolai","63.0174475","-154.3639608","","","","","","","",""
"GKY","Arlington Municipal","32.66241528","-97.09391139","","","","","","","",""
"DMW","Carroll County","39.60827778","-77.00766667","","","","","","","",""
"9U0","Turner","48.85417361","-108.4090214","","","","","","","",""
"I23","Fayette County","39.57040167","-83.42052444","","","","","","","",""
"SHX","Shageluk","62.69511944","-159.5690614","","","","","","","",""
"X66","Charlotte Amalie Harbor Seaplane Base","18.33856722","-64.94070111","","","","","","","",""
"UNK","Unalakleet","63.88835917","-160.7989517","","","","","","","",""
"MPO","Pocono Mountains Muni","41.1374775","-75.37887833","","","","","","","",""
"L38","Louisiana Regional","30.17135306","-90.94039583","","","","","","","",""
"AXN","Chandler ","45.86629833","-95.39466806","","","","","","","",""
"8K8","Cimarron Municipal","37.83057667","-100.3504222","","","","","","","",""
"SBO","Emanuel County","32.60825","-82.36869444","","","","","","","",""
"CTJ","West Georgia Regional","33.63102778","-85.15202778","","","","","","","",""
"26R","Jackson County","29.00101","-96.58194667","","","","","","","",""
"DPL","P B Raiford","35.00006444","-77.981695","","","","","","","",""
"DVK","Stuart Powell ","37.57791667","-84.76969444","","","","","","","",""
"HIO","Portland-Hillsboro","45.54039389","-122.9498258","","","","","","","",""
"GSN","Saipan International","15.11900139","-145.7293561","","","","","","","",""
"DRI","Beauregard Parish","30.83152778","-93.33963889","","","","","","","",""
"8U8","Townsend","46.33111111","-111.4813889","","","","","","","",""
"0A3","Smithville Municipal","35.98531194","-85.80931806","","","","","","","",""
"MIV","Millville Muni ","39.36780556","-75.07222222","","","","","","","",""
"HYL","Hollis SPB","55.48158833","-132.6460942","","","","","","","",""
"9M4","Ackerman-Choctaw County","33.3034575","-89.22840028","","","","","","","",""
"VGT","North Las Vegas","36.21166667","-115.19575","","","","","","","",""
"PLB","Clinton Cty","44.68751861","-73.52452306","","","","","","","",""
"OBU","Kobuk","66.90917056","-156.8610575","","","","","","","",""
"O17","Nevada County  Air Park","39.22402778","-121.0030833","","","","","","","",""
"MUT","Muscatine Municipal","41.36786333","-91.14821639","","","","","","","",""
"CPK","Chesapeake Municipal","36.66561833","-76.32066389","","","","","","","",""
"FHR","Friday Harbor","48.52197222","-123.0243611","","","","","","","",""
"0R3","Abbeville Chris Crusta Memorial","29.97576083","-92.08415167","","","","","","","",""
"UKL","Coffey County","38.30248472","-95.7249575","","","","","","","",""
"O68","Mariposa-Yosemite","37.51077","-120.0418439","","","","","","","",""
"NC67","Ashe County","36.43243111","-81.41968472","","","","","","","",""
"MWC","Lawrence J Timmerman","43.11092694","-88.03442194","","","","","","","",""
"RIL","Garfield County Regional","39.526315","-107.7269403","","","","","","","",""
"CLS","Chehalis-Centralia","46.67649194","-122.9792967","","","","","","","",""
"MCW","Mason City Municipal","43.1577925","-93.33126056","","","","","","","",""
"HOT","Memorial ","34.47803389","-93.09620833","","","","","","","",""
"MLE","Millard","41.196","-96.11227778","","","","","","","",""
"MGC","Michigan City Municipal","41.70331694","-86.82124167","","","","","","","",""
"W11","Menomonie Municipal - Score ","44.89234639","-91.86777944","","","","","","","",""
"1G3","Kent State University","41.15186167","-81.41658306","","","","","","","",""
"06M","Eupora Municipal","33.53456583","-89.31256917","","","","","","","",""
"93C","Richland","43.28333333","-90.29827778","","","","","","","",""
"5U3","Ennis - Big Sky","45.27175833","-111.6486389","","","","","","","",""
"S97","Anderson ","48.10486806","-119.7206128","","","","","","","",""
